"2019-06-05 22:42:52","16.5","svmem(total=17138647040, available=9446789120, percent=44.9, used=7691857920, free=9446789120)","1 Synjas"
"2019-06-05 22:43:07","13.7","svmem(total=17138647040, available=9447075840, percent=44.9, used=7691571200, free=9447075840)","1 Synjas"
"2019-06-05 22:43:23","16.2","svmem(total=17138647040, available=9386356736, percent=45.2, used=7752290304, free=9386356736)","1 Synjas"
"2019-06-05 22:43:39","20.4","svmem(total=17138647040, available=9314168832, percent=45.7, used=7824478208, free=9314168832)","1 Synjas"
"2019-06-05 22:43:54","18.3","svmem(total=17138647040, available=9265201152, percent=45.9, used=7873445888, free=9265201152)","1 Synjas"
"2019-06-05 22:44:10","16.2","svmem(total=17138647040, available=9352351744, percent=45.4, used=7786295296, free=9352351744)","1 Synjas"
"2019-06-05 22:44:26","9.2","svmem(total=17138647040, available=9357099008, percent=45.4, used=7781548032, free=9357099008)","1 Synjas"
"2019-06-05 22:44:41","9.4","svmem(total=17138647040, available=9313124352, percent=45.7, used=7825522688, free=9313124352)","1 Synjas"
"2019-06-05 22:44:57","7.6","svmem(total=17138647040, available=9318404096, percent=45.6, used=7820242944, free=9318404096)","1 Synjas"
"2019-06-05 22:46:38","22.0","svmem(total=17138647040, available=9341440000, percent=45.5, used=7797207040, free=9341440000)","1 Synjas"
"2019-06-05 22:46:54","15.0","svmem(total=17138647040, available=9432195072, percent=45.0, used=7706451968, free=9432195072)","0 Synjas"
"2019-06-05 22:47:09","6.7","svmem(total=17138647040, available=9442418688, percent=44.9, used=7696228352, free=9442418688)","0 Synjas"
"2019-06-05 22:47:37","18.1","svmem(total=17138647040, available=9410084864, percent=45.1, used=7728562176, free=9410084864)","1 Synjas"
"2019-06-05 22:47:52","12.4","svmem(total=17138647040, available=9390542848, percent=45.2, used=7748104192, free=9390542848)","0 Synjas"
"2019-06-05 22:48:08","19.5","svmem(total=17138647040, available=9299214336, percent=45.7, used=7839432704, free=9299214336)","0 Synjas"
"2019-06-05 22:48:24","13.2","svmem(total=17138647040, available=9322106880, percent=45.6, used=7816540160, free=9322106880)","0 Synjas"
"2019-06-05 22:48:39","6.4","svmem(total=17138647040, available=9328025600, percent=45.6, used=7810621440, free=9328025600)","0 Synjas"
"2019-06-05 22:48:55","5.7","svmem(total=17138647040, available=9337954304, percent=45.5, used=7800692736, free=9337954304)","0 Synjas"
"2019-06-05 22:49:11","11.9","svmem(total=17138647040, available=9342951424, percent=45.5, used=7795695616, free=9342951424)","0 Synjas"
"2019-06-05 22:49:26","16.2","svmem(total=17138647040, available=9311006720, percent=45.7, used=7827640320, free=9311006720)","0 Synjas"
"2019-06-05 22:49:42","20.7","svmem(total=17138647040, available=9286787072, percent=45.8, used=7851859968, free=9286787072)","0 Synjas"
"2019-06-05 22:49:58","21.7","svmem(total=17138647040, available=9269747712, percent=45.9, used=7868899328, free=9269747712)","0 Synjas"
"2019-06-05 22:50:13","15.9","svmem(total=17138647040, available=9258414080, percent=46.0, used=7880232960, free=9258414080)","0 Synjas"
"2019-06-05 22:50:29","14.2","svmem(total=17138647040, available=9254027264, percent=46.0, used=7884619776, free=9254027264)","0 Synjas"
"2019-06-05 22:50:44","15.3","svmem(total=17138647040, available=9245904896, percent=46.1, used=7892742144, free=9245904896)","0 Synjas"
"2019-06-05 22:51:00","12.7","svmem(total=17138647040, available=9241141248, percent=46.1, used=7897505792, free=9241141248)","0 Synjas"
"2019-06-05 22:51:16","8.8","svmem(total=17138647040, available=9242816512, percent=46.1, used=7895830528, free=9242816512)","0 Synjas"
"2019-06-05 22:51:31","6.0","svmem(total=17138647040, available=9237811200, percent=46.1, used=7900835840, free=9237811200)","0 Synjas"
"2019-06-05 22:51:47","7.3","svmem(total=17138647040, available=9239015424, percent=46.1, used=7899631616, free=9239015424)","0 Synjas"
"2019-06-05 22:52:03","8.3","svmem(total=17138647040, available=9231843328, percent=46.1, used=7906803712, free=9231843328)","0 Synjas"
"2019-06-05 22:54:00","22.5","svmem(total=17138647040, available=9178288128, percent=46.4, used=7960358912, free=9178288128)","1 Synjas"
"2019-06-05 22:54:16","15.4","svmem(total=17138647040, available=9155997696, percent=46.6, used=7982649344, free=9155997696)","0 Synjas"
"2019-06-05 22:54:32","13.4","svmem(total=17138647040, available=9185894400, percent=46.4, used=7952752640, free=9185894400)","0 Synjas"
"2019-06-05 22:55:55","26.4","svmem(total=17138647040, available=9195085824, percent=46.3, used=7943561216, free=9195085824)","1 Synjas"
